"B25010_001E","B25010_001M","B25010_002E","B25010_002M","B25010_003E","B25010_003M","GEO_ID","NAME"
"Estimate!!Average household size --!!Total:","Margin of Error!!Average household size --!!Total:","Estimate!!Average household size --!!Total:!!Owner occupied","Margin of Error!!Average household size --!!Total:!!Owner occupied","Estimate!!Average household size --!!Total:!!Renter occupied","Margin of Error!!Average household size --!!Total:!!Renter occupied","id","Geographic Area Name"
"3.27","0.24","3.65","0.43","3.11","0.31","1400000US06037123303","Census Tract 1233.03, Los Angeles County, California"
"2.53","0.28","2.67","0.62","2.49","0.31","1400000US06037123304","Census Tract 1233.04, Los Angeles County, California"
"3.14","0.31","3.35","0.60","3.07","0.40","1400000US06037123410","Census Tract 1234.10, Los Angeles County, California"
"3.03","0.23","3.21","0.34","2.95","0.36","1400000US06037123420","Census Tract 1234.20, Los Angeles County, California"
"3.04","0.32","3.53","0.50","2.87","0.39","1400000US06037123510","Census Tract 1235.10, Los Angeles County, California"
"3.63","0.41","4.52","1.01","3.19","0.29","1400000US06037123520","Census Tract 1235.20, Los Angeles County, California"
"2.52","0.19","2.92","0.32","2.26","0.28","1400000US06037123601","Census Tract 1236.01, Los Angeles County, California"
"2.66","0.20","2.59","0.51","2.71","0.29","1400000US06037123602","Census Tract 1236.02, Los Angeles County, California"
"2.74","0.45","3.66","0.53","1.88","0.42","1400000US06037123700","Census Tract 1237, Los Angeles County, California"
"2.58","0.25","3.04","0.48","2.27","0.25","1400000US06037123800","Census Tract 1238, Los Angeles County, California"
"3.26","0.46","2.59","0.47","3.60","0.67","1400000US06037123901","Census Tract 1239.01, Los Angeles County, California"
"2.44","0.20","2.37","0.42","2.47","0.25","1400000US06037123902","Census Tract 1239.02, Los Angeles County, California"
"2.38","0.26","2.74","0.40","2.01","0.32","1400000US06037124000","Census Tract 1240, Los Angeles County, California"
"2.63","0.29","2.89","0.89","2.57","0.29","1400000US06037124102","Census Tract 1241.02, Los Angeles County, California"
"3.30","0.42","3.72","0.65","3.05","0.58","1400000US06037124103","Census Tract 1241.03, Los Angeles County, California"
"2.46","0.32","4.09","1.14","2.12","0.24","1400000US06037124104","Census Tract 1241.04, Los Angeles County, California"
"2.73","0.26","2.83","0.64","2.71","0.26","1400000US06037124105","Census Tract 1241.05, Los Angeles County, California"
"3.28","0.50","3.78","0.79","2.76","0.75","1400000US06037124201","Census Tract 1242.01, Los Angeles County, California"
"2.83","0.34","3.07","0.47","2.70","0.45","1400000US06037124203","Census Tract 1242.03, Los Angeles County, California"
"2.17","0.25","2.27","0.48","2.15","0.29","1400000US06037124204","Census Tract 1242.04, Los Angeles County, California"
"2.40","0.30","2.42","0.52","2.39","0.36","1400000US06037124300","Census Tract 1243, Los Angeles County, California"
"2.80","0.27","2.62","0.43","2.89","0.40","1400000US06037124400","Census Tract 1244, Los Angeles County, California"
"2.34","0.21","2.40","0.31","2.27","0.38","1400000US06037124500","Census Tract 1245, Los Angeles County, California"
"2.01","0.15","2.25","0.32","1.89","0.18","1400000US06037124600","Census Tract 1246, Los Angeles County, California"
"2.15","0.16","2.44","0.25","1.94","0.21","1400000US06037124700","Census Tract 1247, Los Angeles County, California"
"1.98","0.27","3.00","0.77","1.80","0.29","1400000US06037124902","Census Tract 1249.02, Los Angeles County, California"
"2.30","0.20","2.13","0.35","2.35","0.24","1400000US06037124903","Census Tract 1249.03, Los Angeles County, California"
"1.74","0.13","1.99","0.42","1.68","0.17","1400000US06037125101","Census Tract 1251.01, Los Angeles County, California"
"2.46","0.21","2.29","0.37","2.58","0.35","1400000US06037125102","Census Tract 1251.02, Los Angeles County, California"
"2.17","0.27","2.79","0.36","1.91","0.34","1400000US06037125200","Census Tract 1252, Los Angeles County, California"
"2.00","0.23","2.69","0.65","1.90","0.25","1400000US06037125310","Census Tract 1253.10, Los Angeles County, California"
